timestamp,close,high,low,oi,open,volume
2025-10-03 12:15:00+05:30,217.3,229.6,214.85,4665750,229.6,63825
2025-10-03 12:20:00+05:30,219.2,220.55,212.8,4674300,217.3,44325
2025-10-03 12:25:00+05:30,219.6,223.0,216.4,4694850,218.0,51750
2025-10-03 12:30:00+05:30,210.75,220.8,209.5,4709400,219.6,61800
2025-10-03 12:35:00+05:30,215.0,217.75,209.5,4710675,210.75,85425
2025-10-03 12:40:00+05:30,219.35,219.4,212.0,4732200,215.0,28725
2025-10-03 12:45:00+05:30,220.6,224.35,218.1,4727550,219.35,24450
2025-10-03 12:50:00+05:30,223.2,224.0,218.0,4718475,220.6,29100
2025-10-03 12:55:00+05:30,223.7,223.7,220.7,4721625,223.2,13350
2025-10-03 13:00:00+05:30,221.35,223.7,217.4,4720950,223.7,15000
2025-10-03 13:05:00+05:30,228.1,228.15,221.35,4727250,221.35,45000
2025-10-03 13:10:00+05:30,229.1,231.0,226.0,4717800,227.0,45825
2025-10-03 13:15:00+05:30,227.2,229.1,225.3,4718475,229.1,38025
2025-10-03 13:20:00+05:30,223.2,228.0,223.1,4716975,227.2,17700
2025-10-03 13:25:00+05:30,218.2,223.9,218.2,4721550,223.2,34050
2025-10-03 13:30:00+05:30,217.1,221.15,216.9,4718175,218.2,37500
2025-10-03 13:35:00+05:30,214.0,220.4,213.1,4710750,217.1,34875
2025-10-03 13:40:00+05:30,218.5,218.5,213.85,4715850,214.0,20100
2025-10-03 13:45:00+05:30,214.65,221.45,213.0,4725450,218.5,42675
2025-10-03 13:50:00+05:30,219.3,219.4,214.45,4727850,214.65,18075
2025-10-03 13:55:00+05:30,218.25,222.65,218.0,4736025,219.3,67200
2025-10-03 14:00:00+05:30,221.85,222.05,216.05,4731825,218.25,29325
2025-10-03 14:05:00+05:30,215.5,222.1,215.5,4731225,221.85,21900
2025-10-03 14:10:00+05:30,209.05,216.1,208.7,4735875,215.5,126600
2025-10-03 14:15:00+05:30,211.65,213.8,209.0,4769775,209.25,40650
2025-10-03 14:20:00+05:30,210.05,213.9,210.05,4771050,211.65,16650
2025-10-03 14:25:00+05:30,215.65,216.95,210.1,4769850,210.6,32625
2025-10-03 14:30:00+05:30,220.35,220.5,215.65,4763475,215.65,37275
2025-10-03 14:35:00+05:30,232.95,233.65,220.35,4770750,220.35,109425
2025-10-03 14:40:00+05:30,240.85,243.0,232.95,4790400,232.95,289725
2025-10-03 14:45:00+05:30,235.35,245.0,235.35,4783350,240.85,103125
2025-10-03 14:50:00+05:30,242.8,243.75,235.4,4766175,235.4,91200
2025-10-03 14:55:00+05:30,246.5,246.5,240.0,4773450,242.8,93225
2025-10-03 15:00:00+05:30,248.5,251.65,244.0,4742250,246.2,196575
2025-10-03 15:05:00+05:30,247.35,252.0,246.85,4741200,248.8,85950
2025-10-03 15:10:00+05:30,244.25,247.2,242.8,4726275,246.3,113325
2025-10-03 15:15:00+05:30,241.45,244.65,240.0,4695675,244.65,130650
2025-10-03 15:20:00+05:30,245.0,247.0,238.7,4677675,241.45,170325
2025-10-03 15:25:00+05:30,244.55,248.5,243.55,4680225,244.75,146100
2025-10-06 09:15:00+05:30,246.95,255.5,235.05,4693500,255.5,305025
2025-10-06 09:20:00+05:30,243.55,248.85,235.1,4708125,246.95,160275
2025-10-06 09:25:00+05:30,232.3,243.55,231.6,4715550,243.55,117450
2025-10-06 09:30:00+05:30,237.5,240.3,224.65,4755825,232.3,138375
2025-10-06 09:35:00+05:30,244.0,246.8,236.0,4788225,237.5,151275
2025-10-06 09:40:00+05:30,253.9,254.7,242.75,4782150,244.0,108900
2025-10-06 09:45:00+05:30,263.0,263.4,253.0,4794225,253.85,171750
2025-10-06 09:50:00+05:30,254.75,267.0,254.25,4778175,263.25,97050
2025-10-06 09:55:00+05:30,261.0,261.75,253.0,4775025,254.75,71400
